Category,Type,Subcategory,Sub-Subcategory,Mechanical Property Data Source(s),Name,Treatment or Temper,Treatment Temperature (F),Treatment Temperature (C),Minimum Ultimate Tensile Strength (psi),Maximum Ultimate Tensile Strength (psi),Ultimate Tensile Strength (psi),Minimum Yield Strength (psi),Maximum Yield Strength (psi),Yield Strength (psi),Minimum Ultimate Tensile Strength (MPa),Maximum Ultimate Tensile Strength (MPa),Ultimate Tensile Strength (MPa),Minimum Yield Strength (MPa),Maximum Yield Strength (MPa),Yield Strength (MPa),Minimum Elongation (%),Maximum Elongation (%),Elongation (%),Reduction in Cross Sectional Area (%),Brinell Hardness,Rockwell Hardness,Izod Impact Strength (Ft-lb),Izod Impact Strength (N-m),Water Quenched?,Ultimate Shearing Strength (ksi),Ultimate Shearing Strength (Mpa),Endurance limit (ksi),Endurance limit (MPa),Density (kg/m^3),Young's Modulus (GPa),Thermal Conductivity (W/m-K),Thermal Expansion (10^-6/K),Maximum Service Temperature (C),Thermal Shock Index (K),E*alpha (MPa/K)
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1015,As-rolled,,,,,61000.0,,,45500.0,,,420.6,,,313.7,,,39.0,61.0,126.0,,81.5,110.5,,,,,,7850,200.0,50.0,12.0,500,130.7,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1015,,1700.0,926.67,,,61500.0,,,47000.0,,,424.0,,,324.1,,,37.0,69.6,121.0,,85.2,115.5,,,,,,7850,200.0,50.0,12.0,500,135.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1015,,1600.0,871.11,,,56000.0,,,41250.0,,,386.1,,,284.4,,,37.0,69.7,111.0,,84.8,115.0,,,,,,7850,200.0,50.0,12.0,500,118.5,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1020,As-rolled,,,,,65000.0,,,48000.0,,,448.2,,,330.9,,,36.0,59.0,143.0,,64.0,86.8,,,,,,7870,200.0,51.9,11.7,400,141.4,2.34
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1020,Normalized,1600.0,871.11,,,64000.0,,,50250.0,,,441.3,,,346.5,,,35.8,67.9,131.0,,86.8,117.7,,,,,,7870,200.0,51.9,11.7,400,148.1,2.34
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1020,Annealed,1600.0,871.11,,,57250.0,,,42750.0,,,394.7,,,294.8,,,36.5,66.0,111.0,,91.0,123.4,,,,,,7870,200.0,51.9,11.7,400,126.0,2.34
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1022,As-rolled,,,,,73000.0,,,52000.0,,,503.3,,,358.5,,,35.0,67.0,149.0,,60.0,81.4,,,,,,7850,200.0,50.0,12.0,500,149.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1022,Normalized,1700.0,926.67,,,70000.0,,,52000.0,,,482.6,,,358.5,,,34.0,67.5,143.0,,86.5,117.3,,,,,,7850,200.0,50.0,12.0,500,149.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1022,Annealed,1600.0,871.11,,,65250.0,,,46000.0,,,449.9,,,317.2,,,35.0,63.6,137.0,,89.0,120.7,,,,,,7850,200.0,50.0,12.0,500,132.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1030,As-rolled,,,,,80000.0,,,50000.0,,,551.6,,,344.7,,,32.0,57.0,179.0,,55.0,74.6,,,,,,7850,200.0,50.0,12.0,500,143.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1030,Normalized,1700.0,926.67,,,75000.0,,,50000.0,,,517.1,,,344.7,,,32.0,60.8,149.0,,69.0,93.6,,,,,,7850,200.0,50.0,12.0,500,143.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1030,Annealed,1550.0,843.33,,,67250.0,,,49500.0,,,463.7,,,341.3,,,31.2,57.9,126.0,,51.2,69.4,,,,,,7850,200.0,50.0,12.0,500,142.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1040,As-rolled,,,,,90000.0,,,60000.0,,,620.5,,,413.7,,,25.0,50.0,201.0,,36.0,48.8,,,,,,7850,200.0,50.0,12.0,500,172.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1040,Normalized,1650.0,898.89,,,85500.0,,,54250.0,,,589.5,,,374.0,,,28.0,54.9,170.0,,48.0,65.1,,,,,,7850,200.0,50.0,12.0,500,155.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1040,Annealed,1450.0,787.78,,,75250.0,,,51250.0,,,518.8,,,353.4,,,30.2,57.2,149.0,,32.7,44.3,,,,,,7850,200.0,50.0,12.0,500,147.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1050,As-rolled,,,,,105000.0,,,60000.0,,,723.9,,,413.7,,,20.0,40.0,229.0,,23.0,31.2,,,,,,7850,200.0,50.0,12.0,500,172.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1050,Normalized,1650.0,898.89,,,108500.0,,,62000.0,,,748.1,,,427.5,,,20.0,39.4,217.0,,20.0,27.1,,,,,,7850,200.0,50.0,12.0,500,178.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1050,Annealed,1450.0,787.78,,,92250.0,,,53000.0,,,636.0,,,365.4,,,23.7,39.9,187.0,,12.5,17.0,,,,,,7850,200.0,50.0,12.0,500,152.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1060,As-rolled,,,,,118000.0,,,70000.0,,,813.6,,,482.6,,,17.0,34.0,241.0,,13.0,17.6,,,,,,7850,200.0,50.0,12.0,500,201.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1060,Normalized,1650.0,898.89,,,112500.0,,,61000.0,,,775.7,,,420.6,,,18.0,37.2,229.0,,9.7,13.2,,,,,,7850,200.0,50.0,12.0,500,175.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1060,Annealed,1450.0,787.78,,,90750.0,,,54000.0,,,625.7,,,372.3,,,22.5,38.2,179.0,,8.3,11.3,,,,,,7850,200.0,50.0,12.0,500,155.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1080,As-rolled,,,,,140000.0,,,85000.0,,,965.3,,,586.1,,,12.0,17.0,293.0,,5.0,6.8,,,,,,7850,200.0,50.0,12.0,500,244.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1080,Normalized,1650.0,898.89,,,146500.0,,,76000.0,,,1010.1,,,524.0,,,11.0,20.6,293.0,,5.0,6.8,,,,,,7850,200.0,50.0,12.0,500,218.3,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1080,Annealed,1450.0,787.78,,,89250.0,,,54500.0,,,615.4,,,375.8,,,24.7,45.0,174.0,,4.5,6.1,,,,,,7850,200.0,50.0,12.0,500,156.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1095,As-rolled,,,,,140000.0,,,83000.0,,,965.3,,,572.3,,,9.0,18.0,293.0,,3.0,4.1,,,,,,7850,205.0,47.7,12.0,400,232.6,2.46
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1095,Normalized,1650.0,898.89,,,147000.0,,,72500.0,,,1013.5,,,499.9,,,9.5,13.5,293.0,,4.0,5.4,,,,,,7850,205.0,47.7,12.0,400,203.2,2.46
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1095,Annealed,1450.0,787.78,,,95250.0,,,55000.0,,,656.7,,,379.2,,,13.0,20.6,192.0,,2.0,2.7,,,,,,7850,205.0,47.7,12.0,400,154.1,2.46
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1117,As-rolled,,,,,70600.0,,,44300.0,,,486.8,,,305.4,,,33.0,63.0,143.0,,60.0,81.4,,,,,,7850,200.0,50.0,12.0,500,127.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1117,Normalized,1650.0,898.89,,,67750.0,,,44000.0,,,467.1,,,303.4,,,33.5,63.8,137.0,,62.8,85.2,,,,,,7850,200.0,50.0,12.0,500,126.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1117,Annealed,1575.0,857.22,,,62250.0,,,40500.0,,,429.2,,,279.2,,,32.8,58.0,121.0,,69.0,93.6,,,,,,7850,200.0,50.0,12.0,500,116.3,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1118,As-rolled,,,,,75600.0,,,45900.0,,,521.2,,,316.5,,,32.0,70.0,149.0,,80.0,108.5,,,,,,7850,200.0,50.0,12.0,500,131.9,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1118,Normalized,1700.0,926.67,,,69250.0,,,46250.0,,,477.5,,,318.9,,,33.5,65.9,143.0,,76.3,103.5,,,,,,7850,200.0,50.0,12.0,500,132.9,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1118,Annealed,1450.0,787.78,,,65250.0,,,41250.0,,,449.9,,,284.4,,,34.5,66.8,131.0,,78.5,106.4,,,,,,7850,200.0,50.0,12.0,500,118.5,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1137,As-rolled,,,,,91000.0,,,55000.0,,,627.4,,,379.2,,,28.0,61.0,192.0,,61.0,82.7,,,,,,7850,200.0,50.0,12.0,500,158.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1137,Normalized,1650.0,898.89,,,97000.0,,,57500.0,,,668.8,,,396.4,,,22.5,48.5,197.0,,47.0,63.7,,,,,,7850,200.0,50.0,12.0,500,165.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1137,Annealed,1450.0,787.78,,,84750.0,,,50000.0,,,584.3,,,344.7,,,26.8,53.9,174.0,,36.8,49.9,,,,,,7850,200.0,50.0,12.0,500,143.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1141,As-rolled,,,,,98000.0,,,52000.0,,,675.7,,,358.5,,,22.0,38.0,192.0,,8.2,11.1,,,,,,7850,200.0,50.0,12.0,500,149.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1141,Normalized,1650.0,898.89,,,102500.0,,,58750.0,,,706.7,,,405.1,,,22.7,55.5,201.0,,38.8,52.6,,,,,,7850,200.0,50.0,12.0,500,168.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1141,Annealed,1500.0,815.56,,,86800.0,,,51200.0,,,598.5,,,353.0,,,25.5,49.3,163.0,,25.3,34.3,,,,,,7850,200.0,50.0,12.0,500,147.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1144,As-rolled,,,,,102000.0,,,61000.0,,,703.3,,,420.6,,,21.0,41.0,212.0,,39.0,52.9,,,,,,7850,200.0,50.0,12.0,500,175.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1144,Normalized,1650.0,898.89,,,96750.0,,,58000.0,,,667.1,,,399.9,,,21.0,40.4,197.0,,32.0,43.4,,,,,,7850,200.0,50.0,12.0,500,166.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 466",1144,Annealed,1450.0,787.78,,,84750.0,,,50250.0,,,584.3,,,346.5,,,24.8,41.3,167.0,,48.0,65.1,,,,,,7850,200.0,50.0,12.0,500,144.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",1340,Normalized,1600.0,871.11,,,121250.0,,,81000.0,,,836.0,,,558.5,,,22.0,62.9,248.0,,68.2,92.5,,,,,,7850,200.0,50.0,12.0,500,232.7,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",1340,Annealed,1475.0,801.67,,,102000.0,,,63250.0,,,703.3,,,436.1,,,25.5,57.3,207.0,,52.0,70.5,,,,,,7850,200.0,50.0,12.0,500,181.7,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",3140,Normalized,1600.0,871.11,,,129250.0,,,87000.0,,,891.1,,,599.8,,,19.7,57.3,262.0,,39.5,53.6,,,,,,7850,200.0,50.0,12.0,500,249.9,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",3140,Annealed,1500.0,815.56,,,100000.0,,,61250.0,,,689.5,,,422.3,,,24.5,50.8,197.0,,34.2,46.4,,,,,,7850,200.0,50.0,12.0,500,176.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4130,Normalized,1600.0,871.11,,,97000.0,,,63250.0,,,668.8,,,436.1,,,25.5,59.5,197.0,,63.7,86.4,,,,,,7850,200.0,50.0,12.0,500,181.7,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4130,Annealed,1585.0,862.78,,,81250.0,,,52250.0,,,560.2,,,360.3,,,28.2,55.6,156.0,,45.5,61.7,,,,,,7850,200.0,50.0,12.0,500,150.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4140,Normalized,1600.0,871.11,,,148000.0,,,95000.0,,,1020.4,,,655.0,,,17.7,46.8,302.0,,16.7,22.6,,,,,,7850,205.0,42.6,12.3,400,259.8,2.5215
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4140,Annealed,1500.0,815.56,,,95000.0,,,60500.0,,,655.0,,,417.1,,,25.7,56.9,197.0,,40.2,54.5,,,,,,7850,205.0,42.6,12.3,400,165.4,2.5215
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4150,Normalized,1600.0,871.11,,,167500.0,,,106500.0,,,1154.9,,,734.3,,,11.7,30.8,321.0,,8.5,11.5,,,,,,7850,200.0,50.0,12.0,500,306.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4150,Annealed,1500.0,815.56,,,105750.0,,,55000.0,,,729.1,,,379.2,,,20.2,40.2,197.0,,18.2,24.7,,,,,,7850,200.0,50.0,12.0,500,158.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4320,Normalized,1640.0,893.33,,,115000.0,,,67250.0,,,792.9,,,463.7,,,20.8,50.7,235.0,,53.8,73.0,,,,,,7850,200.0,50.0,12.0,500,193.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4320,Annealed,1560.0,848.89,,,84000.0,,,61625.0,,,579.2,,,424.9,,,29.0,58.4,163.0,,81.0,109.8,,,,,,7850,200.0,50.0,12.0,500,177.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4340,Normalized,1600.0,871.11,,,185500.0,,,125000.0,,,1279.0,,,861.8,,,12.2,36.3,363.0,,11.7,15.9,,,,,,7850,205.0,44.5,12.3,400,341.8,2.5215
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4340,Annealed,1490.0,810.0,,,108000.0,,,68500.0,,,744.6,,,472.3,,,22.0,49.9,217.0,,37.7,51.1,,,,,,7850,205.0,44.5,12.3,400,187.3,2.5215
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4620,Normalized,1650.0,898.89,,,83250.0,,,53125.0,,,574.0,,,366.3,,,29.0,66.7,174.0,,98.0,132.9,,,,,,7850,200.0,50.0,12.0,500,152.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4620,Annealed,1575.0,857.22,,,74250.0,,,54000.0,,,511.9,,,372.3,,,31.3,60.3,149.0,,69.0,93.6,,,,,,7850,200.0,50.0,12.0,500,155.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4820,Normalized,1580.0,860.0,,,109500.0,,,70250.0,,,755.0,,,484.4,,,24.0,59.2,229.0,,81.0,109.8,,,,,,7850,200.0,50.0,12.0,500,201.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",4820,Annealed,1500.0,815.56,,,98750.0,,,67250.0,,,680.9,,,463.7,,,22.3,58.8,197.0,,68.5,92.9,,,,,,7850,200.0,50.0,12.0,500,193.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5140,Normalized,1600.0,871.11,,,115000.0,,,68500.0,,,792.9,,,472.3,,,22.7,59.2,229.0,,28.0,38.0,,,,,,7850,200.0,50.0,12.0,500,196.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5140,Annealed,1525.0,829.44,,,83000.0,,,42500.0,,,572.3,,,293.0,,,28.6,57.3,167.0,,30.0,40.7,,,,,,7850,200.0,50.0,12.0,500,122.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5150,Normalized,1600.0,871.11,,,126250.0,,,76750.0,,,870.5,,,529.2,,,20.7,58.7,255.0,,23.2,31.5,,,,,,7850,200.0,50.0,12.0,500,220.5,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5150,Annealed,1520.0,826.67,,,98000.0,,,51750.0,,,675.7,,,356.8,,,22.0,43.7,197.0,,18.5,25.1,,,,,,7850,200.0,50.0,12.0,500,148.7,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5160,Normalized,1575.0,857.22,,,138750.0,,,77000.0,,,956.6,,,530.9,,,17.5,44.8,269.0,,8.0,10.8,,,,,,7850,200.0,50.0,12.0,500,221.2,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",5160,Annealed,1495.0,812.78,,,104750.0,,,40000.0,,,722.2,,,275.8,,,17.2,30.6,197.0,,7.4,10.0,,,,,,7850,200.0,50.0,12.0,500,114.9,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",6150,Normalized,1600.0,871.11,,,136250.0,,,89250.0,,,939.4,,,615.4,,,21.8,61.0,269.0,,26.2,35.5,,,,,,7850,200.0,50.0,12.0,500,256.4,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",6150,Annealed,1500.0,815.56,,,96750.0,,,59750.0,,,667.1,,,412.0,,,23.0,48.4,197.0,,20.2,27.4,,,,,,7850,200.0,50.0,12.0,500,171.7,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8620,Normalized,1675.0,912.78,,,91750.0,,,51750.0,,,632.6,,,356.8,,,26.3,59.7,183.0,,73.5,99.7,,,,,,7850,205.0,46.6,11.9,400,146.3,2.4395
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8620,Annealed,1600.0,871.11,,,77750.0,,,55875.0,,,536.1,,,385.2,,,31.3,62.1,149.0,,82.8,112.3,,,,,,7850,205.0,46.6,11.9,400,157.9,2.4395
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8630,Normalized,1600.0,871.11,,,94250.0,,,62250.0,,,649.8,,,429.2,,,23.5,53.5,187.0,,69.8,94.6,,,,,,7850,200.0,50.0,12.0,500,178.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8630,Annealed,1550.0,843.33,,,81750.0,,,54000.0,,,563.6,,,372.3,,,29.0,58.9,156.0,,70.2,95.2,,,,,,7850,200.0,50.0,12.0,500,155.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8650,Normalized,1600.0,871.11,,,148500.0,,,99750.0,,,1023.9,,,687.8,,,14.0,40.4,302.0,,10.0,13.6,,,,,,7850,200.0,50.0,12.0,500,286.6,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8650,Annealed,1465.0,796.11,,,103750.0,,,56000.0,,,715.3,,,386.1,,,22.5,46.4,212.0,,21.7,29.4,,,,,,7850,200.0,50.0,12.0,500,160.9,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8740,Normalized,1600.0,871.11,,,134750.0,,,88000.0,,,929.1,,,606.7,,,16.0,47.9,269.0,,13.0,17.6,,,,,,7850,200.0,50.0,12.0,500,252.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",8740,Annealed,1500.0,815.56,,,100750.0,,,60250.0,,,694.6,,,415.4,,,22.2,46.4,201.0,,29.5,40.0,,,,,,7850,200.0,50.0,12.0,500,173.1,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9255,Normalized,1650.0,898.89,,,135250.0,,,84000.0,,,932.5,,,579.2,,,19.7,43.4,269.0,,10.0,13.6,,,,,,7850,200.0,50.0,12.0,500,241.3,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9255,Annealed,1550.0,843.33,,,112250.0,,,70500.0,,,773.9,,,486.1,,,21.7,41.1,229.0,,6.5,8.8,,,,,,7850,200.0,50.0,12.0,500,202.5,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9310,Normalized,1630.0,887.78,,,131500.0,,,82750.0,,,906.7,,,570.5,,,18.8,58.1,269.0,,88.0,119.3,,,,,,7850,205.0,32.0,11.7,400,237.9,2.3985
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 467",9310,Annealed,1550.0,843.33,,,119000.0,,,63750.0,,,820.5,,,439.5,,,17.3,42.1,241.0,,58.0,78.6,,,,,,7850,205.0,32.0,11.7,400,183.2,2.3985
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,400.0,204.44,,,123000.0,,,94000.0,,,848.1,,,648.1,,,17.0,47.0,495.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,270.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,600.0,315.56,,,116000.0,,,90000.0,,,799.8,,,620.5,,,19.0,53.0,401.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,258.5,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,800.0,426.67,,,106000.0,,,84000.0,,,730.8,,,579.2,,,23.0,60.0,302.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,241.3,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,1000.0,537.78,,,97000.0,,,75000.0,,,668.8,,,517.1,,,28.0,65.0,255.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,215.5,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1030,Tempered,1200.0,648.89,,,85000.0,,,64000.0,,,586.1,,,441.3,,,32.0,70.0,207.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,183.9,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,400.0,204.44,,,130000.0,,,96000.0,,,896.3,,,661.9,,,16.0,45.0,514.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,275.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,600.0,315.56,,,129000.0,,,94000.0,,,889.4,,,648.1,,,18.0,52.0,444.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,270.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,800.0,426.67,,,122000.0,,,92000.0,,,841.2,,,634.3,,,21.0,57.0,352.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,264.3,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1000.0,537.78,,,113000.0,,,86000.0,,,779.1,,,592.9,,,23.0,61.0,269.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,247.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1200.0,648.89,,,97000.0,,,72000.0,,,668.8,,,496.4,,,28.0,68.0,201.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,206.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,400.0,204.44,,,113000.0,,,86000.0,,,779.1,,,592.9,,,19.0,48.0,262.0,,,,,,,,,7850,200.0,50.0,12.0,500,247.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,600.0,315.56,,,113000.0,,,86000.0,,,779.1,,,592.9,,,20.0,53.0,255.0,,,,,,,,,7850,200.0,50.0,12.0,500,247.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,800.0,426.67,,,110000.0,,,80000.0,,,758.4,,,551.6,,,21.0,54.0,241.0,,,,,,,,,7850,200.0,50.0,12.0,500,229.8,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1000.0,537.78,,,104000.0,,,71000.0,,,717.1,,,489.5,,,26.0,57.0,212.0,,,,,,,,,7850,200.0,50.0,12.0,500,204.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1040,Tempered,1200.0,648.89,,,92000.0,,,63000.0,,,634.3,,,434.4,,,29.0,65.0,192.0,,,,,,,,,7850,200.0,50.0,12.0,500,181.0,2.4
Metal,Steel,Carbon And Alloy Steels,,"Machinery's Handbook 27th edition, Pg. 468",1050,Tempered,400.0,204.44,,,163000.0,,,117000.0,,,1123.8,,,806.7,,,9.0,27.0,514.0,,,,Yes,,,,,7850,200.0,50.0,12.0,500,336.1,2.4
